Product Name,Brand,Operating System,Price,Discount,Review,Ratings,Description
"realme NARZO 70x 5G (Ice Blue, 8GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box",realme,Android,"13,498.00",-0.29,4,"2,419",Brand   realme     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
Apple iPhone 13 (128GB) - Blue,Apple,iOS,"43,999.00",-0.26,4.5,"30,031",Brand   Apple     Operating System   iOS 14     Memory Storage Capacity   128 GB     Screen Size   6.1 Inches     Resolution   4K
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",realme,Android,"7,498.00",-0.17,4.1,479,Brand   realme     Operating System   Android 14     RAM Memory Installed Size   4 GB     CPU Model   MediaTek Helio     Memory Storage Capacity   64 GB
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)",OnePlus,OxygenOS,"19,998.00",-0.05,4.1,"2,304",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
Apple iPhone 13 (128GB) - Green,Apple,iOS,"43,999.00",-0.26,4.5,"30,031",Brand   Apple     Operating System   iOS     Memory Storage Capacity   128 GB     Screen Size   6.1 Inches     Resolution   4K
"Samsung Galaxy M15 5G Prime Edition (Celestial Blue,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",Samsung,Android,"11,999.00",-0.29,4.1,73,Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Speed   2.2 GHz     Memory Storage Capacity   128 GB
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 256GB Storage)",OnePlus,OxygenOS,"22,998.00",-0.04,4.1,"2,304",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 128GB Storage)",OnePlus,OxygenOS,"23,499.00",-0.06,4.2,"5,211",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",realme,Android,"12,498.00",-0.17,4.1,"1,084",Brand   realme     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Model   MediaTek Helio     Memory Storage Capacity   128 GB
"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,6GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update",Samsung,Android,"11,999.00",-0.29,4.1,73,Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Speed   2.2 GHz     Memory Storage Capacity   128 GB
